代码,年化收益%,夏普比率,最大回撤%
501062,0.2,-4.05,0.34
513040,0.12,-4.05,0.42
159944,0.07,-4.05,0.8
159805,-0.01,-4.05,0.73
159861,-0.1,-4.05,1.09
501076,0.13,-4.06,0.54
561600,0.02,-4.06,0.57
562800,-0.03,-4.06,0.65
588500,0.7,-4.07,0.39
159777,0.01,-4.07,0.59
562010,-0.02,-4.09,0.43
501043,0.07,-4.1,0.76
510630,0.05,-4.1,0.91
159608,0.04,-4.1,0.69
159981,0.08,-4.11,1.09
588050,-0.01,-4.12,0.95
588080,-0.01,-4.12,0.95
512380,0.1,-4.13,0.59
502056,-0.01,-4.13,1.38
501073,0.1,-4.14,0.28
588090,-0.02,-4.14,0.96
588000,-0.02,-4.15,0.98
159667,0.2,-4.17,0.31
159806,0.05,-4.17,0.76
561310,0.04,-4.17,0.45
159337,0.25,-4.18,0.19
588210,0.2,-4.18,0.29
159660,0.37,-4.21,0.51
560360,0.42,-4.22,0.42
515390,0.08,-4.22,0.56
159326,0.26,-4.24,0.22
508048,0.4,-4.25,0.7
159663,0.19,-4.25,0.33
516050,0.03,-4.27,0.57
159970,0.05,-4.28,0.69
510380,0.05,-4.28,0.62
513880,0.14,-4.31,0.38
502010,0.03,-4.32,0.69
159836,0.01,-4.35,0.65
159993,0.07,-4.38,0.52
159612,0.26,-4.39,0.43
561280,0.26,-4.39,0.21
501220,0.07,-4.39,0.36
510800,0.06,-4.39,0.63
513500,0.17,-4.4,0.56
159685,0.1,-4.4,0.39
515310,0.08,-4.4,0.59
516260,0.07,-4.4,0.43
501091,-0.05,-4.4,1.17
515010,0.07,-4.41,0.58
588880,0.18,-4.42,0.29
515330,0.07,-4.42,0.62
510230,0.07,-4.43,0.65
516350,0.07,-4.45,0.42
563200,0.26,-4.47,0.21
515090,0.07,-4.47,0.54
516190,0.01,-4.47,0.62
159532,0.26,-4.5,0.22
159796,0.05,-4.5,0.68
159540,0.26,-4.52,0.31
159656,0.04,-4.52,0.4
588310,0.01,-4.52,0.54
159876,0.07,-4.53,0.49
515130,0.03,-4.53,0.72
588800,0.21,-4.54,0.24
159895,0.03,-4.54,0.48
159821,0.02,-4.54,0.7
561160,-0.05,-4.55,0.6
516390,-0.06,-4.55,0.91
516920,0.04,-4.57,0.52
159896,0.03,-4.58,0.43
501016,0.03,-4.59,0.57
512910,0.05,-4.6,0.75
159775,-0.01,-4.61,0.74
517900,0.14,-4.63,0.25
159841,0.03,-4.63,0.5
502006,0.05,-4.64,0.54
506006,0.03,-4.64,0.56
588360,0.03,-4.64,0.5
502013,-0.02,-4.64,1.32
517800,0.02,-4.66,0.52
159533,0.54,-4.67,0.29
515580,0.11,-4.68,0.37
588900,0.28,-4.69,0.24
513070,0.05,-4.69,0.45
159637,-0.02,-4.69,0.57
516640,0.04,-4.7,0.5
515800,0.08,-4.71,0.52
516360,-0.11,-4.72,0.96
510410,0.07,-4.73,0.7
515000,0.06,-4.74,0.59
560000,-0.1,-4.75,0.75
159505,0.34,-4.78,0.21
159565,0.26,-4.78,0.31
513100,0.14,-4.78,0.4
501089,0.04,-4.78,0.67
501093,-0.08,-4.78,1.06
501048,0.05,-4.8,0.63
501208,0.02,-4.8,0.64
513290,0.15,-4.81,0.34
501047,0.04,-4.81,0.66
506000,0.08,-4.82,0.44
515190,0.04,-4.82,0.63
501050,0.06,-4.83,0.71
159703,-0.13,-4.83,0.96
515920,0.05,-4.85,0.45
501098,0.05,-4.85,0.62
159928,0.04,-4.85,0.84
513810,0.28,-4.86,0.19
159726,0.06,-4.86,0.41
513060,-0.14,-4.86,0.94
506003,0.04,-4.87,0.5
513390,0.36,-4.89,0.51
159782,0.01,-4.89,0.51
588390,0.03,-4.9,0.45
512710,0.03,-4.9,0.55
159840,-0.06,-4.9,0.77
515550,0.1,-4.91,0.58
159783,0.02,-4.91,0.47
588280,-0.03,-4.91,0.61
588700,0.05,-4.92,0.34
588300,0.02,-4.92,0.48
588750,0.36,-4.93,0.33
159801,0.07,-4.93,0.53
159720,-0.07,-4.93,0.77
560220,0.22,-4.94,0.26
501095,-0.05,-4.94,0.81
588400,0.02,-4.97,0.46
159655,0.28,-4.98,0.5
501037,0.05,-4.98,0.51
159767,-0.06,-4.98,0.75
588330,0.02,-4.99,0.46
159781,0.01,-4.99,0.51
516960,-0.08,-4.99,0.83
